Minisector,STR,ALO,Fastest
0,287.07244636168303,294.0789772329004,ALO
1,299.2388890122449,314.50679809122806,ALO
2,303.2654849797896,326.3306878306878,ALO
3,296.7211010590476,325.98625673573633,ALO
4,251.79044962133332,261.11648616811596,ALO
5,184.95415385899443,183.76895974659544,STR
6,255.1504223301587,253.30163014492751,STR
7,276.5694618231643,278.4183034102,ALO
8,202.08037587956989,199.701911243255,STR
9,201.99119581198568,205.38490250982457,ALO
10,140.9890658871359,133.43632695407152,STR
11,246.61348968746185,242.53372763419918,STR
12,271.65960139130436,268.9287607757576,STR
13,226.04462323174062,211.4408541024123,STR
14,259.94124554285713,256.7181663573333,STR
15,222.61030500411192,222.43115874631616,STR
16,178.05490315294116,178.4143204302521,ALO
17,255.5156555409727,253.9693072967501,STR
18,147.12974762170543,151.09447895013494,ALO
19,208.85704029359925,198.72892188361627,STR
20,273.46231132121216,267.27279911940883,STR
21,287.4524037052956,293.34559101964646,ALO
22,160.35274074385967,156.7427837112084,STR
23,176.63916844743162,173.83773127688323,STR
24,258.66198436580055,254.50917790158627,STR
25,,278.8111104,ALO
