Minisector,NOR,PER,Fastest
0,254.7714910054136,248.27018423807434,NOR
1,281.98999984,280.0900508444444,NOR
2,164.63051495812513,167.7004732144319,PER
3,170.4039256640285,165.42928174814813,NOR
4,262.0467260626474,260.2394515032205,NOR
5,269.6742700051948,263.0539116698413,NOR
6,221.55049703870034,214.79983268330338,NOR
7,199.09310377931035,194.46421829224425,NOR
8,159.61946117216186,151.72379799622962,NOR
9,227.35724005964929,222.02654249876542,NOR
10,277.16626930793655,273.5026074340136,NOR
11,124.78243351247902,120.98924686013443,NOR
12,223.40296511536286,215.2273373361415,NOR
13,274.0445068606061,272.43353030912374,NOR
14,289.60874976,292.71805546666667,PER
15,295.06541658666663,299.07395927157575,PER
16,218.76296794074074,225.28893952704294,PER
17,137.65843051162793,131.67087666911596,NOR
18,140.61458796548257,133.358633219156,NOR
19,125.51141703483673,121.29296487257487,NOR
20,231.99081496842692,223.84825993260074,NOR
21,260.17500704351636,250.5507244985507,NOR
22,233.53378578416076,227.65648158024692,NOR
23,216.22620488650057,213.430673769192,NOR
24,144.74605965690773,142.64986260220175,NOR
25,,223.98750186666666,PER
