Minisector,RAI,ERI,Fastest
0,298.97537429036544,284.5951243144697,RAI
1,251.5673828038095,250.17950319865471,RAI
2,271.2811126542837,269.8615266076234,RAI
3,297.0690674611527,285.71144227724864,RAI
4,132.62440005553606,128.1227942428305,RAI
5,215.6645132292957,207.25030411687183,RAI
6,273.0342389210576,266.5842792253424,RAI
7,292.78068864702425,296.06960759215684,ERI
8,301.5750637720277,312.1069377895003,ERI
9,304.7836697872114,319.4577025065795,ERI
10,287.7360290365669,293.08507778214585,ERI
11,104.20132185326486,98.8968859179484,RAI
12,229.4832770174049,216.81233490154017,RAI
13,278.1553240822032,275.4970768211096,RAI
14,269.8156450354924,274.24652477543793,ERI
15,130.99331699214576,128.5439328357935,RAI
16,211.87995809431578,200.99346309274503,RAI
17,262.6019505354497,257.3001067111874,RAI
18,245.88187519029208,246.5509001328143,ERI
19,242.5552422263716,239.35689983330226,RAI
20,150.87442057067398,144.1152106939373,RAI
21,194.51851184900954,184.1439422884085,RAI
22,179.11247369766247,170.66194628718083,RAI
23,195.2077342527624,181.42904602443994,RAI
24,257.44605500841095,245.44373394752407,RAI
25,,277.2,ERI
