Minisector,NOR,STR,Fastest
0,284.7216871977143,286.6217694887613,STR
1,294.0599069361879,299.0918190315671,STR
2,299.41651508175045,304.91263366843776,STR
3,299.65743062320985,305.42395824761905,STR
4,196.57055603309968,180.75934898479534,NOR
5,213.2310484107592,210.37634734111066,NOR
6,263.7776918780062,261.78159973103914,NOR
7,260.3186504486957,258.70265637968254,NOR
8,192.22884179911355,178.7206736464668,NOR
9,144.83580779662344,142.00145628537018,NOR
10,181.97159587950617,178.62746339148052,NOR
11,255.9781792128436,256.5426976809782,STR
12,240.76567275336237,237.80754214139276,NOR
13,224.8630081325655,222.4554060567361,NOR
14,265.35291859058253,262.70751842258534,NOR
15,170.68852110014765,165.4630411954039,NOR
16,221.73971159030444,216.5566492,NOR
17,232.86099768135793,238.83564341588115,STR
18,132.57552553720092,127.9213699793638,NOR
19,237.45766763213712,235.70635451699604,NOR
20,272.71182626291653,275.2197916096969,STR
21,243.4847493193506,233.72328407652753,NOR
22,134.94336897321207,134.71850829425756,NOR
23,208.67974798304326,205.70947541182275,NOR
24,267.68330044190475,265.328762646931,NOR
25,,279.0125002666667,STR
