Minisector,RAI,GRO,Fastest
0,291.13267721904515,283.8154586135642,RAI
1,313.33020810666665,300.56983740641834,RAI
2,314.082630688091,295.74058295411254,RAI
3,182.4077384576871,180.47375206012654,RAI
4,219.86324642097182,221.79486169799452,GRO
5,197.6102708971724,199.03869084285714,GRO
6,184.2004727260504,192.20592556949143,GRO
7,210.09150217142857,212.15463962167487,GRO
8,259.0303319111111,255.48832677466643,RAI
9,266.5180222542181,257.7296901485714,RAI
10,172.2915570526316,175.1729966762657,GRO
11,244.34186541988217,240.41138165770911,RAI
12,119.48482620892659,117.65276978941083,RAI
13,230.1209782247619,233.48466407553533,GRO
14,280.78879532235044,274.9912880969697,RAI
15,294.72136069079363,285.89613876817106,RAI
16,204.11557619809525,201.29071313761872,RAI
17,177.31167529971657,185.94096267771704,GRO
18,270.5864650199038,268.34085471168834,RAI
19,300.8496757338535,292.25579693341246,RAI
20,314.3946694380243,304.20157411327244,RAI
21,314.87979178666666,302.23809523809524,RAI
22,258.8222368975325,243.53837722986174,RAI
23,116.44812143591525,116.09994528369936,RAI
24,241.67003125536428,243.37182495238096,GRO
25,277.6124992,,RAI
