Minisector,SAI,PIA,Fastest
0,275.8292324088259,276.89220436544156,PIA
1,295.23889148380954,295.0629951074517,SAI
2,229.75098537295543,218.819293019166,SAI
3,116.10175106958312,108.75155137227182,SAI
4,125.56720721277246,131.2630022338029,PIA
5,244.6491514788978,248.38649364198582,PIA
6,249.93880481427595,234.79531279331817,SAI
7,121.68428723299895,117.45362746412137,SAI
8,240.803737156022,243.56543467102043,PIA
9,243.32021259988872,240.7259089357576,SAI
10,206.66283735938245,194.13947957904762,SAI
11,139.06298085070162,134.59998288014287,SAI
12,195.27251927750893,206.57511513582514,PIA
13,258.3365314089546,252.07893866489658,SAI
14,111.56236991972858,106.45509483579426,SAI
15,179.78262769390474,192.38433493725748,PIA
16,254.29807916848685,257.0628929261698,PIA
17,285.11958104776744,291.63035638774187,PIA
18,298.9607372867725,309.7546307573333,PIA
19,305.7207878734123,325.2176702468934,PIA
20,309.2932484246914,328.9719084997852,PIA
21,157.89918587525514,134.65104371595348,SAI
22,157.91152358962287,158.65872037516706,PIA
23,192.44472645736303,194.59172518297632,PIA
24,233.07164491271976,237.50852192608934,PIA
