Minisector,HAM,RAI,Fastest
0,234.48746153700435,235.36296355555555,RAI
1,285.52931228782717,285.9067179218574,RAI
2,302.1200757818182,298.0747024761905,HAM
3,308.60479168,303.13401794285716,HAM
4,278.48987092537817,273.3605684095014,HAM
5,174.61218292311963,176.21921986499441,RAI
6,265.12707568451935,265.8526292952381,RAI
7,282.5625541610389,283.3672401121329,RAI
8,218.1357975793257,220.61633574421768,RAI
9,221.18461972016462,219.98908190506324,HAM
10,195.16181386897546,189.1076471180375,HAM
11,223.43350762405677,227.76682240000002,RAI
12,204.5122112639017,209.40187209750658,RAI
13,221.85630028584887,217.25950703164008,HAM
14,222.76307498456487,223.78642113580247,RAI
15,181.43834369808008,184.58476140698414,RAI
16,251.11112018451774,248.81201518397393,HAM
17,293.64594551458777,291.75102843290045,HAM
18,312.3208333333333,308.57062522666666,HAM
19,302.2813490285714,298.43395394326,HAM
20,132.54875661663547,131.65559558039706,HAM
21,167.6399010813977,167.67634956824543,RAI
22,155.27273594554345,149.76452387164525,HAM
23,204.4242126311172,206.77606681123632,RAI
24,147.80884063749966,141.81042297636534,HAM
25,187.33333333333331,185.99999573333335,HAM
