Minisector,HUL,STR,Fastest
0,257.6965282573545,262.14066140164203,STR
1,134.4453235510204,134.17818085779967,HUL
2,266.2716490269624,266.3314360739089,STR
3,308.7768760496894,312.3684397349206,STR
4,308.7513128237881,312.26045959932037,STR
5,316.64422115555556,320.55922603636367,STR
6,321.848462215873,327.3314236,STR
7,317.4505517513225,326.0949276753623,STR
8,207.04428065957984,193.8997658585407,HUL
9,191.54166555428571,187.58916560380953,HUL
10,187.55994988476192,181.17404485014836,HUL
11,165.34859253085222,167.86715317340008,STR
12,248.06529405957448,254.69369317708413,STR
13,269.60654834285714,277.46183892204584,STR
14,275.8013182734863,279.513027112487,STR
15,273.07978569784245,271.6726198000297,HUL
16,183.15537120761905,180.25261880761906,HUL
17,192.88052454603175,189.17619104380952,HUL
18,238.89605208142078,238.16585826038866,HUL
19,283.734744081717,287.30298361546375,STR
20,307.2471067897683,312.96489933168124,STR
21,316.5512090586654,321.58454961821946,STR
22,312.0787010583851,319.79464285714283,STR
23,265.52939549950736,247.5136146184127,HUL
24,117.5902196919178,113.50040101939405,HUL
