Minisector,RUS,ZHO,Fastest
0,315.7332797733489,319.64879388070176,ZHO
1,324.57822929246794,337.3572294372294,ZHO
2,318.4045915488926,339.9626063168015,ZHO
3,182.00097925794367,183.12442725824653,ZHO
4,125.29415321261365,125.72259186549225,ZHO
5,259.80381901553943,261.1133280782222,ZHO
6,297.44294589941524,298.9734693877551,ZHO
7,309.7681663260681,312.6089028266667,ZHO
8,267.3733949497861,249.7293086080586,RUS
9,146.3521899173246,143.5923588093431,RUS
10,210.0493469393438,205.5711930816721,RUS
11,211.19724262464223,203.94270124716553,RUS
12,191.1576341076751,178.00988057913378,RUS
13,265.05865171814634,265.7247391476011,ZHO
14,299.30319643806484,310.697556475188,ZHO
15,309.7292527260119,329.7605555555555,ZHO
16,258.0353023649524,256.40905970002234,RUS
17,212.3703171062912,197.8763787878788,RUS
18,272.83066645134573,269.07616185958017,RUS
19,302.5760385298415,305.8864821428571,ZHO
20,315.0144444109668,319.6131629427994,ZHO
21,297.90243133968255,293.77021541950114,RUS
22,203.24389291450737,189.29970008357307,RUS
23,262.578411054966,263.4556404958678,ZHO
24,298.7500535783575,304.15745432615734,ZHO
