Minisector,HAM,STR,Fastest
0,296.65366444862497,310.8460456293218,STR
1,254.81800437040204,222.79087236232735,HAM
2,199.2708998816214,187.0139363145348,HAM
3,262.12266522714276,261.58880981308226,HAM
4,215.85846254283925,207.71560995268817,HAM
5,113.19934449862227,104.94861837574918,HAM
6,171.4009458236428,162.34470596424023,HAM
7,252.35437535089685,255.06695956649847,STR
8,288.08952374548295,290.6402991033155,STR
9,303.7181576400287,317.93043917837576,STR
10,306.273170137971,325.5746678821832,STR
11,229.14771911999998,201.57897976986885,HAM
12,139.7784564082891,137.38446623667812,HAM
13,250.76737855981628,254.13284934513834,STR
14,287.50203608029557,290.6067624066721,STR
15,299.4368952332468,302.61332649008347,STR
16,297.604844354632,301.06621380869564,STR
17,256.3080137948718,249.36781724807426,HAM
18,178.59526814326264,172.02736692804777,HAM
19,175.65265822710677,167.39527463577863,HAM
20,175.04623673568628,187.55620923290044,STR
21,241.6868390284815,238.36188409459493,HAM
22,121.75700086197678,111.0100844421561,HAM
23,190.5973748514671,204.22352088285714,STR
24,275.336279454359,276.22440069718533,STR
