Minisector,PER,MAG,Fastest
0,273.1947756213585,271.51904759480516,PER
1,292.6224779916458,292.27305886489967,PER
2,291.204457536859,292.84906415788356,MAG
3,186.66875511652503,169.10362532010026,PER
4,117.66081871267777,113.7657997167746,PER
5,230.78775488501347,231.8951015908042,MAG
6,275.66565276389053,275.2719114426598,PER
7,290.8700690406926,289.31174020941177,PER
8,180.65462873732338,180.01298502334268,PER
9,138.5773910115855,132.53010777617,PER
10,243.6480076736,245.2475511402233,MAG
11,282.54904544548054,284.2746920003778,MAG
12,295.32578304057233,293.54849538180724,PER
13,280.4632816498147,270.68628730039444,PER
14,294.80364828988064,288.57561008250514,PER
15,301.1834719464048,292.3298046729996,PER
16,252.8182141448294,244.21861437413162,PER
17,216.5358076576784,211.84807888158983,PER
18,270.727070010694,268.0082764153345,PER
19,294.77741650723976,291.15306306531284,PER
20,304.7525985951065,298.1385068537846,PER
21,231.08339286228548,235.71878615550398,MAG
22,250.67931258590622,251.88667146057142,MAG
23,139.92274298145225,141.90503352117008,MAG
24,209.4927037853865,197.07712464875704,PER
25,,253.26203662222224,MAG
