Minisector,VER,BEA,Fastest
0,313.0249300945454,324.3512756825397,BEA
1,239.11125580060215,225.875805985974,VER
2,133.00903303351043,130.0266966138273,VER
3,222.07111086814814,216.70515164223605,VER
4,266.98248891241434,261.1423311632567,VER
5,293.5279218346194,288.6562663335845,VER
6,309.1378039595828,304.52343175887955,VER
7,284.4645041756863,273.18581691965585,VER
8,175.34213218812462,171.71499897265744,VER
9,241.46318682373922,239.11275254290615,VER
10,274.61793762329637,273.90042713766235,VER
11,260.6290446682353,269.0597646608354,BEA
12,210.62384405665324,202.73140970943723,VER
13,125.61400374621779,123.83107722646422,VER
14,123.84842381442586,121.43377493706456,VER
15,156.832334709506,163.35725282907498,BEA
16,124.4088212451245,122.00247756188914,VER
17,229.4544251668027,230.3563834115389,BEA
18,186.91808807081406,178.8466630247619,VER
19,164.32442364014074,159.36430274553044,VER
20,245.13143441955418,244.84204884723246,VER
21,275.3228839068783,275.83330992887335,BEA
22,294.1273563854912,294.4768064995556,BEA
23,306.29126107493767,313.02653994780354,BEA
24,311.7412202666667,323.6026532702041,BEA
25,,326.8,BEA
