Minisector,RIC,ALO,Fastest
0,231.19609627101815,230.25682617510978,RIC
1,285.11307124419045,280.915880832,RIC
2,312.1759126160201,293.47743026666666,RIC
3,325.15327973244695,297.6470547667537,RIC
4,282.7261886945055,263.5831563941582,RIC
5,158.53039215525968,163.7467311246697,ALO
6,254.29704315457622,257.3901802622111,ALO
7,269.27822525096127,276.9709876148148,ALO
8,212.56365887478273,213.67790678250935,ALO
9,216.1592074853665,216.90694357979797,ALO
10,178.8588113456394,180.4646032744734,ALO
11,221.5751060927078,220.4595939872876,RIC
12,202.70348693726217,199.50350933333334,RIC
13,206.01556094107596,210.26698424832023,ALO
14,214.8487462554864,214.53291223305322,RIC
15,177.44086449608398,180.0477459333246,ALO
16,239.94358105244302,247.17667677536502,ALO
17,276.92215798146503,283.33175341831503,ALO
18,283.64897633836785,293.91349954929206,ALO
19,275.16923142564104,281.54354535970697,ALO
20,131.74993031403125,132.32015645914228,ALO
21,162.22019605513782,153.97303661188934,RIC
22,144.67433404651283,153.54190871057423,ALO
23,202.2981788466077,197.1089838945352,RIC
24,143.70216499254985,146.4690794035898,ALO
25,180.56667306666668,,RIC
