Minisector,ALB,HUL,Fastest
0,273.54634493718225,276.58203174015955,HUL
1,290.4065238064762,295.81086846245455,HUL
2,289.09102907529603,294.06213161126175,HUL
3,197.63736962882882,187.24293529128292,ALB
4,124.14276575644733,123.27955691886905,ALB
5,238.78231674592934,238.859811372043,HUL
6,280.63303602637365,284.59656874508613,HUL
7,287.711666688,290.36746802051283,HUL
8,187.43020713333334,179.19194959070674,ALB
9,141.7199871585785,141.46638034051148,ALB
10,249.69367511926134,251.7498623079108,HUL
11,284.40171740952377,287.0564842431952,HUL
12,296.02383338666664,300.5828158767175,HUL
13,290.94023808609523,286.869333248,ALB
14,299.0706256870897,300.62132906666665,HUL
15,298.69023779961907,306.2929131021568,HUL
16,259.34735313156966,259.7816980571428,HUL
17,227.4114927849797,224.3613490445927,ALB
18,280.47090725245795,281.0660343466289,HUL
19,302.87142139431245,303.78027777777777,HUL
20,304.63888844444443,301.5163461505437,ALB
21,235.50097480564384,226.0028414527991,ALB
22,260.73459893333336,256.03483183633153,ALB
23,140.90172801386288,138.2681047943879,ALB
24,213.2195225308337,216.04081657703293,HUL
25,255.81250133333333,,ALB
