Minisector,VET,PER,Fastest
0,237.7417690810333,232.36324766117002,VET
1,286.99526535757576,287.624910072397,PER
2,299.90884353741495,303.8773769070955,PER
3,305.6155410847494,307.08374992,PER
4,280.8042660713023,271.3220461777778,VET
5,169.65067222593183,167.7707564326332,VET
6,264.1051455366588,262.80460266038256,VET
7,284.7706440242424,280.59558986666667,VET
8,219.66172942562525,204.03506467704418,VET
9,219.9605235755102,220.5724823564626,PER
10,193.54259204582397,179.77060518661224,VET
11,226.80531630344828,225.4984493442177,VET
12,208.52713475655963,195.70148531756567,VET
13,221.47033987699706,208.94114385827677,VET
14,230.82067919012346,221.03820542284714,VET
15,182.5308869573014,176.26896134036124,VET
16,249.15288467692307,252.27938180266668,PER
17,294.17611242102913,295.5735495183134,PER
18,310.61719296,312.5323623218045,PER
19,308.042326235889,289.5638224847683,VET
20,130.0148198429421,124.23823780027345,VET
21,166.96654493440224,156.6473011467953,VET
22,157.3028860147174,159.6649561296394,PER
23,209.46427622465808,192.89562487843136,VET
24,145.83221766991144,145.32103148444574,VET
