Minisector,LEC,VER,Fastest
0,268.9070454868853,277.8210309039859,VER
1,289.16774414337664,302.4635560330328,VER
2,296.3364753964912,307.8116208923249,VER
3,125.85258229179027,124.34550909564148,LEC
4,190.71231797974608,197.16143321387946,VER
5,248.21810988752955,256.512201989418,VER
6,131.10397446765307,143.6802547980209,VER
7,197.86233197806635,201.21700630728608,VER
8,255.44780830465947,257.1665522906667,VER
9,279.788221280393,278.38805668705584,LEC
10,232.12274891123812,235.8394222215224,VER
11,170.74845766908362,179.59496929220614,VER
12,184.8329559866103,192.11155777396044,VER
13,146.38435623284934,136.65040481106686,LEC
14,172.01696086317875,169.85037385067355,LEC
15,156.12891467297297,160.45734950043564,VER
16,215.80821684619607,215.74180537142857,LEC
17,236.096440485005,234.06964177724672,LEC
18,236.78012234276508,241.43567464918956,VER
19,237.4691344352639,243.9699860231111,VER
20,146.1138436345437,145.62485961052158,LEC
21,127.94576517503532,138.6341203246727,VER
22,165.07540225908068,168.13258759183674,VER
23,148.26919244224314,153.05239100391367,VER
24,228.50472819120182,219.69818817489178,LEC
25,,253.55714377142854,VER
