Minisector,RUS,LEC,Fastest
0,289.4760024571114,300.13141353202616,LEC
1,171.20979461937327,163.48285408310608,RUS
2,167.9583613180004,169.14472040893637,LEC
3,250.58475254450795,247.59002782577778,RUS
4,285.035459334966,282.40439841693126,RUS
5,253.11478751265597,244.09130963279907,RUS
6,218.8254729735279,216.47539570152958,RUS
7,153.56766297910937,151.74376179732585,RUS
8,227.32098958728386,226.69336437456388,RUS
9,282.63771509925925,278.1489584811428,RUS
10,299.0287370444828,297.1736534358095,RUS
11,306.0350565773983,305.25339564485944,RUS
12,308.79361635080215,307.5219907555556,RUS
13,308.75,304.3295550338588,RUS
14,131.45689333297693,133.48938937514086,LEC
15,123.35490209796673,124.15077838096813,LEC
16,105.9644392581693,106.34984587839104,LEC
17,234.21774938531357,233.40784053982642,RUS
18,286.6445611398256,284.9349701364767,RUS
19,306.3457420377727,306.3582170489793,LEC
20,313.27664405684055,315.91512412114287,LEC
21,316.7686662842857,320.4341891832568,LEC
22,135.71367031794142,127.31454722674124,RUS
23,203.27672826934244,201.68061170125674,RUS
24,269.22667033936057,269.22380306805195,RUS
25,,283.02499968,LEC
