Minisector,PER,PIA,Fastest
0,253.310972329972,253.06232700391536,PER
1,208.9427999011183,206.02886315649647,PER
2,201.6456452883503,203.22941095236658,PIA
3,253.21879265322488,260.6706580296414,PIA
4,275.95134421778823,276.7271363707937,PIA
5,291.31131254400003,290.0213646328889,PER
6,158.16409310153972,158.78980230754334,PIA
7,175.20281020521782,179.69197748755212,PIA
8,266.8553362320098,269.00741605719804,PIA
9,309.19863946285716,296.29790091277306,PER
10,325.9773532797178,309.28464050306894,PER
11,329.0492071830082,309.23881387795416,PER
12,125.12831470255558,111.5942288471242,PER
13,184.47197281970296,186.28653161507935,PIA
14,268.5107972057301,271.285761565291,PIA
15,294.41846862933335,298.7632834807017,PIA
16,301.092564785332,302.96682331936506,PIA
17,189.16274034697366,180.12126904544326,PER
18,218.23958301798942,215.52325072904128,PER
19,265.3346422750867,267.74798510415724,PIA
20,149.65814050529536,162.61387848458872,PIA
21,144.8388986710027,142.41253086607975,PER
22,218.7587766846387,218.2314050054929,PER
23,232.58267143903979,227.21368974065933,PER
24,157.4602705560134,158.15378877442052,PIA
25,220.97222044444445,222.7250048,PIA
