Minisector,LEC,OCO,Fastest
0,309.49783859248123,289.8965990109091,LEC
1,186.42458158311982,205.315474623136,OCO
2,225.51593465569954,224.99739770487616,LEC
3,282.4652513201436,273.09093196841127,LEC
4,233.1491409192487,236.2282626145055,OCO
5,129.16583017956032,128.87056647934267,LEC
6,215.6983835900571,211.96023052347007,LEC
7,261.6006178502833,253.21241820071688,LEC
8,242.74040177177503,237.96239755946667,LEC
9,233.4922994589364,226.15034376293826,LEC
10,279.3007493787121,272.0562046314128,LEC
11,299.54034347750445,292.07413887243155,LEC
12,309.50907791040976,301.57661076840407,LEC
13,315.02505451896747,307.0141204148148,LEC
14,318.22076125483403,306.5710797791784,LEC
15,267.36924874089186,254.608838951342,LEC
16,242.3589357482958,233.1463420710279,LEC
17,287.6776490448806,273.7204971479365,LEC
18,309.0666594488889,288.550792148062,LEC
19,160.8164619024827,158.75405142709957,LEC
20,212.34005784305006,204.00626877925305,LEC
21,204.599891987269,195.42307046171086,LEC
22,138.85433032858862,133.63377518856484,LEC
23,237.54753590884764,227.61069762184826,LEC
24,279.91873456207793,272.46646913015877,LEC
25,290.7083338666667,287.59645925333336,LEC
