Minisector,BOT,PER,Fastest
0,315.83664023703705,294.81929835789475,BOT
1,242.90601878437383,220.46321794801125,BOT
2,153.22445160550447,143.99266935880155,BOT
3,228.0376110131757,222.67114910116405,BOT
4,161.04537011131245,158.44300406752487,BOT
5,174.330931816159,169.68627023292933,BOT
6,250.67961621469368,247.49787307597745,BOT
7,273.6975002666667,270.9081251047619,BOT
8,277.4549392655999,279.2763157894737,PER
9,258.93052941646266,263.41589216761906,PER
10,243.41131022222223,242.49853208872787,BOT
11,242.7907936507669,244.01398707010375,PER
12,213.94086260380703,209.94633297066667,BOT
13,148.9272411477657,139.45953008695756,BOT
14,159.61672854597555,152.94602527790826,BOT
15,193.02278358601686,182.47635584621287,BOT
16,260.93871084632826,255.00613195988825,BOT
17,245.60219861251682,239.40603114820976,BOT
18,119.37121041368434,118.29937434539602,BOT
19,199.87884508717949,197.2578197666943,BOT
20,184.20430583434373,196.35987891539733,PER
21,204.89265928937039,233.06331496083538,PER
22,250.49598343411157,264.1539789233083,PER
23,272.8367818142353,279.9295392728357,PER
24,287.96988081523807,290.1896930807017,PER
