Minisector,HAM,TSU,Fastest
0,291.10609580649196,289.60136324059465,HAM
1,305.9098957714286,299.8269479168831,HAM
2,311.1852525252525,306.25231143492067,HAM
3,310.62517371555555,303.93821661335744,HAM
4,189.47501747916772,194.31238019420007,TSU
5,214.08411698082537,212.73783991625194,HAM
6,267.89334251539395,263.02856173066664,HAM
7,268.6646913095032,264.5041315840086,HAM
8,185.51064244515763,184.99590484038097,HAM
9,140.1061788909591,149.2892850988517,TSU
10,176.45814823761904,170.99978616071775,HAM
11,258.4979997608551,254.28150375963833,HAM
12,250.68463800248446,244.62498402390713,HAM
13,229.13450207259748,220.05576000463768,HAM
14,267.6093518222222,265.80902851849623,HAM
15,168.38819231130117,173.6805009740076,TSU
16,221.78711080675555,207.90474417985658,HAM
17,237.09607289202518,234.04477339286697,HAM
18,131.06660556277058,131.28905011588665,TSU
19,238.02138480754036,232.43747691903522,HAM
20,278.7581595911111,273.6068038360926,HAM
21,243.4560140908666,244.7092489588758,TSU
22,137.21214793695236,137.77945782226647,TSU
23,207.63508165196342,202.8180364487542,HAM
24,268.77851198808656,266.07839556023407,HAM
25,,281.5687488,TSU
