Minisector,OCO,NOR,Fastest
0,253.9236153295238,255.99750432000002,NOR
1,128.70495677124265,129.2842454432168,NOR
2,197.33903262984126,197.06962623558897,OCO
3,242.5523774245926,247.19641813679655,NOR
4,253.56762900410268,256.5984772854701,NOR
5,173.48829178412697,172.97829843682538,OCO
6,147.12044793629568,140.32955724391428,OCO
7,178.51361256533332,173.3082674575084,OCO
8,97.2595642673903,98.16889323391102,NOR
9,72.20307600632867,69.32462487296606,OCO
10,92.77222141242693,88.80994227170974,OCO
11,181.11512835943978,171.81909369825107,OCO
12,238.2098640987013,243.19778754461538,NOR
13,266.5154603331061,268.6125114240736,NOR
14,273.4515306122449,276.22798302666666,NOR
15,112.3739554333939,111.0833332838906,OCO
16,138.3346432078091,139.66180120170148,NOR
17,185.41036734419754,187.74842099580772,NOR
18,196.05866594855118,197.31417170462336,NOR
19,199.9270979854342,215.52401820352094,NOR
20,132.31179433025642,132.3849651331648,NOR
21,108.49849749010102,113.16011988832452,NOR
22,93.94178346371902,89.07933468975543,OCO
23,195.27537079703703,192.15486655893991,OCO
24,245.62564157264958,248.10834263232158,NOR
25,261.6666666666667,264.26,NOR
