Minisector,HAM,GAS,Fastest
0,301.1869938533333,299.93812476190476,HAM
1,303.43859649122805,303.02412277894734,HAM
2,299.49379398130736,297.23583386666667,HAM
3,236.45200166400002,216.6844099539097,HAM
4,223.9959033809653,222.11892112315311,HAM
5,123.58149231504831,118.17569491927527,HAM
6,231.79453965048302,226.71482001785932,HAM
7,270.33710228752835,268.9226184126984,HAM
8,219.7332641213194,215.69559979144591,HAM
9,121.74790373678393,126.86685072253968,GAS
10,241.94776253047652,244.85954975176136,GAS
11,253.67898731594204,245.61974721987576,HAM
12,137.78767380027801,131.2153954287649,HAM
13,224.4291383235385,223.09427592533336,HAM
14,269.5859099835299,268.36244053817455,HAM
15,230.2324092830476,214.18571653333333,HAM
16,177.81084152816183,169.08973728621612,HAM
17,246.71177470144926,244.84097247407408,HAM
18,127.71167555749466,123.04204705853392,HAM
19,152.6386240621715,148.03192661718376,HAM
20,209.0783177140756,208.41468107936507,HAM
21,258.89166519641566,259.5421604923796,GAS
22,275.5471128304762,275.5416664888889,HAM
23,285.92122966349206,283.8624998603175,HAM
24,295.73145808,293.08559026981084,HAM
25,,297.3666666666667,GAS
