Minisector,HAM,RIC,Fastest
0,285.4506841192652,283.5507011226891,HAM
1,127.68344737515659,124.79870251004914,HAM
2,154.1106397463743,154.60491111632217,RIC
3,215.44130300289856,211.26539826086955,HAM
4,166.18402776769588,163.85391737865913,HAM
5,247.47799335233606,243.68223724912278,HAM
6,211.08803067906865,218.91497187138017,RIC
7,138.64870477688788,132.98210595775964,HAM
8,235.99290615632594,226.73770821333332,HAM
9,278.94791706666666,274.0068281008403,HAM
10,287.6997537882353,281.81020643790987,HAM
11,148.6151297402242,151.06177433809523,RIC
12,224.83000181333333,215.6330964020767,HAM
13,273.92879506436685,270.4696634749,HAM
14,266.1500972783069,269.8464274952381,RIC
15,100.31206810081885,101.07801895325672,RIC
16,220.47194611555557,211.61943971507355,HAM
17,272.16947307699434,264.94606530370373,HAM
18,294.06824330024534,291.9668653206349,HAM
19,303.62809541079366,302.7127838525779,HAM
20,306.8998616789775,308.3977685463637,RIC
21,280.4473856964058,294.968749,RIC
22,154.78099421754303,157.6619736608299,RIC
23,235.58134927028277,234.19210560000002,HAM
24,277.4622556235294,274.30187397242787,HAM
25,289.7833344,287.0625006222222,HAM
