Minisector,BOT,ERI,Fastest
0,274.7262958341737,274.7806723764706,ERI
1,298.5689775219076,302.3614578,ERI
2,311.7969444977778,316.05819372976237,ERI
3,319.51645417142856,323.2610119619048,ERI
4,324.2341411918368,326.9661863834012,ERI
5,325.23310787820344,329.3596155076923,ERI
6,208.15452697971014,203.30269046310866,BOT
7,112.77184758741697,105.92849997140704,BOT
8,194.95297727867495,189.33442926496133,BOT
9,264.3576845275815,261.3463227607843,BOT
10,293.66328132380954,286.97105712380954,BOT
11,168.68693575089276,164.4010648272109,BOT
12,101.6388327904411,96.63641697137267,BOT
13,119.29374733035648,115.49976552900175,BOT
14,226.3315279822222,210.93198060606062,BOT
15,198.893735032788,175.5491039322603,BOT
16,239.59067486395554,206.8754061229437,BOT
17,194.35529038966342,167.6471372800978,BOT
18,244.9533399491324,230.714912,BOT
19,282.9420176044818,275.2341051203445,BOT
20,261.2019608470588,248.3589917754386,BOT
21,147.1573729096393,145.14147394606255,BOT
22,100.87800132970582,96.29980063171989,BOT
23,129.86169521403338,121.14745867578667,BOT
24,227.57645904,225.22584174545094,BOT
25,256.63333546666667,,BOT
