Minisector,MSC,NOR,Fastest
0,295.54921399602216,294.73866074458874,MSC
1,307.10966698666664,301.1174682642857,MSC
2,164.89709396651637,155.50468220951242,MSC
3,218.1909563541657,226.44717041622408,NOR
4,269.3173331254344,280.32574256969696,NOR
5,286.9977777840506,304.986836425172,NOR
6,293.9221727238095,316.0276189053968,NOR
7,184.1704507923106,150.87681824134197,MSC
8,121.28425614990188,125.37457793234964,NOR
9,244.9748872292641,255.20464044190476,NOR
10,281.28067440169315,296.7151863340978,NOR
11,288.54445367395243,310.99806843047804,NOR
12,145.60824748685448,137.02344972943266,MSC
13,191.54982440774972,192.9849699601438,NOR
14,252.537039475492,253.13412964865495,NOR
15,194.30495893583517,194.451020349451,NOR
16,211.43727983525812,217.40462742835453,NOR
17,207.5214516998347,206.7659636265008,MSC
18,234.57592665881893,246.4014566247619,NOR
19,271.58198755416726,275.832525368579,NOR
20,287.8344293652525,286.6968413681821,MSC
21,254.18200632800784,249.08770821841273,MSC
22,217.82775009170462,211.17231144742266,MSC
23,198.5096793441861,203.73144710061896,NOR
24,260.56818575037596,260.83236122615983,NOR
25,278.5,,MSC
