Minisector,LEC,RIC,Fastest
0,324.0299603809524,318.83753837754847,LEC
1,331.98161240684544,326.5250000197531,LEC
2,331.5491227508772,321.6641516356525,LEC
3,174.86743512595456,174.32260051685972,LEC
4,133.56381961010473,136.1162229164021,RIC
5,273.11866254760014,269.7594737437399,LEC
6,305.60666337952034,300.49200719818595,LEC
7,317.9818750933333,307.6202082666667,LEC
8,261.7862830052833,250.72344928304764,LEC
9,155.19614647999998,156.33707714540253,RIC
10,221.1912122820781,223.41001927619047,RIC
11,229.84547634402244,232.63889703536418,RIC
12,199.18307398889593,207.68947600552312,RIC
13,279.30893783188407,275.667614060606,LEC
14,313.31337734736843,306.65804756087033,LEC
15,326.2246173536868,315.07312496,LEC
16,249.94733201066666,251.45337494844378,RIC
17,213.453779566808,216.70530209934984,RIC
18,278.4569810562771,278.44870637846793,LEC
19,313.2556231763636,308.27316120449245,LEC
20,328.3002844723239,316.0916071542857,LEC
21,297.49345127619046,290.045456630303,LEC
22,210.00829191254215,215.54136296970773,RIC
23,274.48162923636363,270.8246259094865,LEC
24,309.99288229469477,303.3657879147392,LEC
