Minisector,NOR,SAI,Fastest
0,287.1588544,287.46058440839914,SAI
1,293.7946198603341,294.4155796869565,SAI
2,278.6715267555556,285.3356641466818,SAI
3,113.71566823148886,111.58179987398987,NOR
4,223.42107927407358,223.73694432,SAI
5,274.4744219926114,272.7726585828571,NOR
6,227.17730402264607,214.4905110118326,NOR
7,159.48839747471297,163.32258686171377,SAI
8,215.21466104825902,212.64086049032258,NOR
9,225.20632224367816,223.08865183034325,NOR
10,121.07251434368874,120.33502567756348,NOR
11,230.0786674499376,234.16376083841374,SAI
12,126.33872175693166,126.92466182179304,SAI
13,222.42571931954024,225.53291252200842,SAI
14,277.8570722806277,279.4822916,SAI
15,228.58999886222222,217.94077194441672,NOR
16,187.92338442308463,192.84206593784532,SAI
17,243.87469103633157,250.49183870658143,SAI
18,208.6702961795491,199.666053441136,NOR
19,175.81927093664538,178.9646662631462,SAI
20,262.77578980845425,262.7554617427615,NOR
21,283.78271206294,286.82836445548656,SAI
22,182.39960086693455,177.97748246433773,NOR
23,211.03477540917845,218.78011923809524,SAI
24,269.1346993980332,270.4409511450148,SAI
25,281.7625002666667,,NOR
