Minisector,RUS,NOR,Fastest
0,298.11879007237746,290.8162354261396,RUS
1,165.84976054185634,158.25735923074157,RUS
2,155.7751004803186,155.98530707131457,NOR
3,233.01898387548715,229.91023135854556,RUS
4,285.6402991656517,295.1121899583893,NOR
5,287.6516716672831,290.4357946503585,NOR
6,143.66192805061044,145.2505593949108,NOR
7,147.71350698895247,139.26645918960185,RUS
8,136.71894494517556,137.0003744127058,NOR
9,204.2294387382652,184.31413725880586,RUS
10,133.62473570610538,131.26866572712478,RUS
11,132.95574160934262,131.07149999898562,RUS
12,177.40219268416965,169.32764321286695,RUS
13,272.46116540100127,269.1108551946361,RUS
14,295.12530966798613,293.4101429507401,RUS
15,154.6455888074056,148.91086357218919,RUS
16,206.713194113811,209.34823404180744,NOR
17,178.32619812732003,166.50933502822858,RUS
18,272.0968492174131,269.0335208394265,RUS
19,293.1677984000018,297.2178288574487,NOR
20,308.7023568444091,311.3425604236627,NOR
21,316.82315457423033,319.66916130573463,NOR
22,323.74725092932334,326.97977700639274,NOR
23,326.14773164157606,338.07208965590763,NOR
24,323.9009328294844,341.0780936371664,NOR
25,,341.121183844722,NOR
