Minisector,SAI,MAG,Fastest
0,276.8835928085154,276.88447689981996,MAG
1,302.6746430737415,303.5005251485002,MAG
2,317.0697930890815,317.6035925688889,MAG
3,324.2004481621703,323.76922613333335,SAI
4,328.8191270095238,327.9306349298492,SAI
5,328.080254436727,330.0035417866667,MAG
6,209.2008476943238,195.08007950812856,SAI
7,109.37309619887374,106.74103330123509,SAI
8,187.56453380902693,186.6542127294714,SAI
9,263.7983419643808,264.897864605042,MAG
10,292.0476932711046,291.95037017948783,SAI
11,164.37306178382875,167.1697337492327,MAG
12,94.51707364392291,94.05314442427112,SAI
13,119.2215682414035,116.16506660717616,SAI
14,220.32746485576249,223.3601313385941,MAG
15,187.14766774498813,196.27679248539025,MAG
16,229.6274994521212,231.74703587784128,MAG
17,177.84506827621587,186.16934714912443,MAG
18,242.99488953763537,240.6166207873325,SAI
19,280.5818777848485,278.2107125222222,SAI
20,245.73921226597403,256.45836335638245,MAG
21,146.87329377246996,147.87806037167445,MAG
22,98.4550483243985,96.37563862085321,SAI
23,126.06238530649519,122.60075904602854,SAI
24,233.00310189357026,224.58117077439636,SAI
25,,258.5540195552833,MAG
