Minisector,VER,RAI,Fastest
0,274.53016752589076,279.96943692917915,RAI
1,233.9958783945319,237.3685890880026,RAI
2,119.45693833899122,116.10882243382306,VER
3,196.3115791458331,193.09854381152147,VER
4,183.29250417132837,180.425647554406,VER
5,217.79876162514907,219.21738150407668,RAI
6,274.34739269309813,282.7431749211679,RAI
7,292.51026834634774,299.599103790593,RAI
8,186.44313253646212,182.9330782369547,VER
9,135.50550719798682,128.26105550828962,VER
10,136.60632599755778,134.7489849735835,VER
11,190.8159782670759,193.7809474552853,RAI
12,221.87602320092392,224.2261421087629,RAI
13,137.8219920668175,130.92729367675628,VER
14,158.9347132400787,149.84511548154873,VER
15,125.04689282727205,125.31614864330193,RAI
16,254.1594536886043,257.9246289180424,RAI
17,146.7070402584082,142.2183303261447,VER
18,201.93443250876885,205.11817497542674,RAI
19,137.13359736483085,132.31019758047768,VER
20,152.04716616794246,144.84427727841913,VER
21,127.09451059221958,127.83629938559267,RAI
22,148.025604450046,146.79472280490126,VER
23,218.74794869075777,215.54203836660642,VER
24,231.71151087535577,235.49457477809094,RAI
