Minisector,VER,SAI,Fastest
0,268.81765170072384,267.4814833533333,VER
1,294.8557202996115,297.8893619755742,SAI
2,311.6233009188991,316.48498987779595,SAI
3,318.66112169025644,328.5265731257582,SAI
4,324.0143612676923,335.0606289807163,SAI
5,323.72265645,334.4934703798601,SAI
6,204.42042483286207,218.32838094851826,SAI
7,103.13087323667428,104.36691104639371,SAI
8,182.1011543642328,186.596277209441,SAI
9,257.9886363649732,255.07162395009522,VER
10,286.88028461414143,282.1343744408163,VER
11,160.3969177676055,166.34045284444443,SAI
12,96.08736592198058,93.29478258797164,VER
13,113.99616628118254,113.4471867917427,VER
14,219.45099060548563,212.68225372300788,VER
15,184.25539787973855,177.48813423460317,VER
16,218.7516377880129,221.30300482587083,SAI
17,174.86301705003956,174.031214973592,VER
18,228.67888099690234,231.8278061201272,SAI
19,274.4207338948776,273.26406635864873,VER
20,239.3307679847619,239.91338715308268,SAI
21,145.17240175317025,145.21982034736914,SAI
22,98.13204428611672,95.87476737175777,VER
23,122.68240458822955,122.72035043104646,SAI
24,223.06943569661826,218.19936209888198,VER
25,252.65,251.25,VER
