Minisector,SAI,PER,Fastest
0,316.08392667420895,309.90162180881833,SAI
1,323.4429915912868,318.58965282031744,SAI
2,320.0737337662338,315.56422951068583,SAI
3,173.76980440930058,197.39527323776264,PER
4,131.66637870741943,123.76850241560571,SAI
5,262.35433333333333,259.33583895906474,SAI
6,296.05246245951145,292.70269114006925,SAI
7,308.0082738095238,305.3601291505378,SAI
8,259.0694323107953,274.6642505356298,PER
9,145.85484459941912,145.48235223919852,SAI
10,214.70203863643843,221.24889379235742,PER
11,215.92764081379744,216.6434535101084,PER
12,196.18474471606825,200.06141984919353,PER
13,266.07163991452893,261.8565503070934,SAI
14,301.9786461345672,296.8274611489213,SAI
15,311.1108964460606,310.078358790182,SAI
16,265.8431165919414,276.4022065646462,PER
17,209.55422797913835,202.2438001653209,SAI
18,272.1242658730159,266.99376779238094,SAI
19,304.079138676423,298.0846372118519,SAI
20,312.3552814095238,313.4206392823852,PER
21,294.0595138888889,305.6908933452633,PER
22,208.33171059379055,220.9588127054022,PER
23,263.9376227157287,259.48376211976205,SAI
24,299.837819179352,295.70177118229674,SAI
25,310.6875008,306.4375008,SAI
