Minisector,NOR,RIC,Fastest
0,264.980157566377,263.54942895336586,NOR
1,133.74843026892114,137.4504715914144,RIC
2,270.35122520674497,265.5475076410661,NOR
3,316.01800403666164,309.4313651460063,NOR
4,315.65302576203175,310.4153662359596,NOR
5,327.5731085274622,319.3021634477682,NOR
6,333.2847655012121,331.3746981052678,NOR
7,339.62208315944133,341.64558134975897,RIC
8,198.72070451595656,194.97895473709573,NOR
9,201.69726956867328,196.30565077090773,NOR
10,178.63951334300089,183.51047686611255,RIC
11,172.79358332132892,169.91627069551913,NOR
12,260.27457661063903,247.55573608483436,NOR
13,279.4808804138146,267.86943867648273,NOR
14,287.97653572613126,277.2623023380889,NOR
15,274.5457460938272,268.87575826857744,NOR
16,177.88523425346332,171.19197297615776,NOR
17,200.43709335808612,192.2547715679372,NOR
18,249.86470007119303,243.21938430669064,NOR
19,292.26145756025835,285.6881461934776,NOR
20,313.2923340794876,302.4436693206025,NOR
21,319.91400879836516,307.2782050680342,NOR
22,317.05458805229597,305.30001058030547,NOR
23,249.26982839842145,239.70720547918367,NOR
24,121.43198855600272,118.43645787932049,NOR
25,235.90000213333335,229.7249984,NOR
