Minisector,LEC,ALO,Fastest
0,308.9438986666667,306.1588236392157,LEC
1,175.1822594265971,225.80956031784805,ALO
2,145.29107097035993,142.44440249718812,LEC
3,225.49443523255295,218.33224774909974,LEC
4,165.3297992778408,159.04893045639102,LEC
5,183.3980043460809,177.88325766056167,LEC
6,255.0260668803669,249.4396305777778,LEC
7,280.9062052113815,277.6622792999487,LEC
8,288.5651313131313,286.08942098794347,LEC
9,259.98495220184736,246.80292477754386,LEC
10,242.97275479264482,239.71659712287433,LEC
11,244.17825081342173,231.9290287984689,LEC
12,193.69730089636582,203.42769952914284,ALO
13,124.84145091536968,123.44948430410142,LEC
14,132.9182449711931,138.37716608390377,ALO
15,171.6798328991839,176.7304053115822,ALO
16,246.4259090909091,252.82188233005064,ALO
17,231.106865362387,241.99910503667533,ALO
18,112.311817801879,111.27016030448316,LEC
19,203.18205074157333,192.46922016240208,LEC
20,203.5695675768295,191.85845992606028,LEC
21,239.75873718816283,234.45463106020202,LEC
22,267.8830533448812,270.858561820767,ALO
23,287.8355617538513,295.52660199,ALO
24,300.9623241861229,314.0884898566667,ALO
25,306.9562496,,LEC
