Minisector,OCO,PER,Fastest
0,289.10019678557,292.3278545523809,PER
1,298.67119826729146,303.1945041672317,PER
2,288.74758493642514,297.76603140849994,PER
3,182.6150267356229,177.47157713704257,OCO
4,204.0425942458167,208.7739612646407,PER
5,201.3563350780133,201.46141047019373,PER
6,258.0733442742857,261.7361418031746,PER
7,247.83348522733158,248.4103894986689,PER
8,204.41884415365078,199.3903149357037,OCO
9,203.80993455624883,205.7821886988295,PER
10,139.12131434416378,146.05966386149294,PER
11,191.45382663596277,184.04415267654565,OCO
12,176.72348193852665,186.75168677329384,PER
13,251.21550976870748,237.252106598557,OCO
14,168.3668284349399,172.05210216725987,PER
15,229.91684414439783,237.61995723493317,PER
16,273.36248980825394,275.62900959064325,PER
17,280.2893769671265,276.3829810565079,OCO
18,272.20076763890336,264.0515377348752,OCO
19,254.87598738242423,250.43526026666666,OCO
20,252.2660245165981,253.0730036436945,PER
21,251.55158797925927,258.39094232612837,PER
22,219.9293476733383,199.79120679280422,OCO
23,193.15165111724139,201.0098577995728,PER
24,265.5452023203086,269.5110764289524,PER
25,279.520832,,OCO
