Minisector,PER,SAI,Fastest
0,293.1804784509987,277.24016785066664,PER
1,159.39277975001878,160.08070407445166,SAI
2,151.79101892176723,151.4397550800501,PER
3,226.0874715051688,232.66018389559085,SAI
4,285.28398323116886,284.3249064825487,PER
5,284.12968573333336,275.81124640277056,PER
6,143.77326712550266,143.5235195572802,PER
7,143.91307599367664,143.29206850496436,PER
8,143.60953237232428,140.16031463353423,PER
9,183.77062424001062,194.6097958342381,SAI
10,133.15770975711874,128.89717095357207,PER
11,122.29718096161024,118.29699123710047,PER
12,167.39764025783666,180.5740347635221,SAI
13,267.6228339626667,269.41497985396825,SAI
14,287.62559546320347,282.8107141962733,PER
15,150.55887417642478,146.8505813723145,PER
16,212.82872672554666,203.30826348007233,PER
17,173.31901762005012,184.9732420822415,SAI
18,273.1757943387915,275.37223071138715,SAI
19,296.17480179954646,294.5510986864604,PER
20,309.6692029737881,305.9654264888889,PER
21,317.09708336,312.0444675980784,PER
22,320.2139584,314.1218253714286,PER
23,323.131547631746,316.1940476444444,PER
24,320.2280073864662,314.18245614035084,PER
25,315.07499946666667,,PER
