Minisector,VET,LEC,Fastest
0,306.8757593212121,302.6308503715547,VET
1,162.19166740666455,160.2536069379791,VET
2,164.19592126871743,160.97845853316144,VET
3,210.39488031899046,203.42355735187573,VET
4,280.87922860845583,278.438224742029,VET
5,298.38679109185955,293.28996174545455,VET
6,151.01467905852078,149.879896421475,VET
7,140.848924871978,140.62839117976864,VET
8,164.49945780408828,163.9115944341892,VET
9,155.845714706715,155.3274837165852,VET
10,138.08027205129272,138.05603514266005,VET
11,129.146442986224,130.10132005771996,LEC
12,151.09965799179622,145.97072704797282,VET
13,261.5499135555555,254.99428399037888,VET
14,290.0327941646508,282.35208346666667,VET
15,156.86934417777778,153.57301526349207,VET
16,209.19423022053277,207.4080107159937,VET
17,155.23183074289884,156.17956662315024,LEC
18,264.9690398095238,256.86111952457145,VET
19,289.08513783775015,282.03796005541125,VET
20,303.02341737835496,292.2063859942029,VET
21,314.01812501333336,301.8005953015873,VET
22,317.7177633395111,306.8799603301587,VET
23,329.3936608457143,310.62083333333334,VET
24,334.4936251077459,308.18532605217393,VET
25,330.3083338666667,,VET
