Minisector,PER,NOR,Fastest
0,291.8805278734288,296.0907203552655,NOR
1,299.70472746666667,302.8024150974387,NOR
2,164.7868856979581,150.91271980130153,PER
3,223.9550864529323,221.03627418548953,PER
4,273.234751325042,278.5010917121195,NOR
5,293.08037542457913,303.2960168205128,NOR
6,303.0314627256565,316.3901255927438,NOR
7,175.7608861197616,152.01047785156297,PER
8,126.01764359560609,132.47768063068781,NOR
9,247.51591458861074,252.19895912747793,NOR
10,284.2280849662337,294.0036960711111,NOR
11,297.30808257212124,306.1096724122,NOR
12,148.5958773113473,138.22949414069242,PER
13,191.05614014894016,196.23862407235,NOR
14,256.5513513812387,257.05065502782253,NOR
15,208.38352224620212,195.47959956412276,PER
16,214.87565966101207,214.85279765879827,PER
17,215.48045461478458,208.44383710235772,PER
18,240.54546292664998,245.53779325155557,NOR
19,275.21556224560146,279.57355298807016,NOR
20,291.30080570687966,294.09618933714285,NOR
21,261.7788755241099,258.69127945249795,PER
22,223.10624326894924,217.59312472266612,PER
23,204.69136616847888,201.22940963890446,PER
24,265.21552557825055,267.29222159220365,NOR
