Minisector,ALB,LEC,Fastest
0,323.4057957533835,319.64185604848484,ALB
1,330.854414340457,320.0890578961511,ALB
2,273.2210144927536,263.7733333333333,ALB
3,160.776511325209,149.32084735451664,ALB
4,165.7093842334517,163.43579046153846,ALB
5,215.1506944,213.4516469231746,ALB
6,227.70769565480464,228.0642132078236,LEC
7,214.83333333333334,210.16202789622332,ALB
8,262.4442746243912,258.71590739201287,ALB
9,257.03312629399585,253.81697615847617,ALB
10,273.58779761904765,268.7218537698242,ALB
11,270.6834553628359,273.34474630724634,LEC
12,262.93416666666667,271.72145182456296,LEC
13,260.6371747631727,265.9907590263255,LEC
14,175.6642857142857,179.0290322788705,LEC
15,236.49413142956053,238.09544574548698,LEC
16,210.4437602627258,200.6136335232184,ALB
17,177.87131599485198,169.19771307468673,ALB
18,258.2708333333333,256.85197563800904,ALB
19,285.6422905660826,285.4821428571429,ALB
20,251.4352380952381,235.3193835246037,ALB
21,190.72845751576148,184.0749097881674,ALB
22,257.68831168831167,257.1049173826614,ALB
23,283.65063085116816,284.78187226320347,LEC
24,296.3712121212121,298.3210417066667,LEC
