Minisector,LEC,HAD,Fastest
0,174.13065922633746,207.23810549333336,HAD
1,208.27132488246139,205.0,LEC
2,220.04261735619045,230.63355835525837,HAD
3,152.8195398988506,265.65592067368425,HAD
4,113.2582703769038,281.135854204295,HAD
5,152.60328945745007,231.28709063859648,HAD
6,189.48749973333335,130.72239429189187,LEC
7,158.9964882162578,119.01898559567567,LEC
8,158.50577786311112,174.84045556690955,HAD
9,150.27046196520635,198.3788,HAD
10,170.0480664612419,145.46079646814815,LEC
11,213.31408583797153,102.10436552126984,LEC
12,226.61229290666665,130.30161290322582,LEC
13,253.84244989273185,177.93751377276632,LEC
14,226.5192701939394,174.80083333333334,LEC
15,215.13758485767704,133.15532199333185,LEC
16,222.0,131.5631769359045,LEC
17,257.0022147047619,171.2924317753208,LEC
18,277.18609716771925,219.86407747760387,LEC
19,274.33402305185183,248.11458266666665,LEC
20,164.72102781184768,264.12999936,HAD
21,112.16277634969225,285.73333333333335,HAD
22,146.93743223466666,301.5218748,HAD
23,202.56182184347827,310.0,HAD
24,142.55467689180063,313.92857142857144,HAD
25,115.75999232,322.95944038041955,HAD
26,,323.84,HAD
27,,323.0,HAD
