Minisector,ALO,ZHO,Fastest
0,297.90639228799273,312.47390310520433,ZHO
1,217.11934875943413,196.05563406560847,ALO
2,229.0540914499734,223.0385100214343,ALO
3,276.8397590499766,279.3513102701631,ZHO
4,255.8835579302603,238.9224985474458,ALO
5,124.30794168354858,126.6380814281197,ZHO
6,215.02034943472316,209.1173288817115,ALO
7,259.8685587790505,260.9664091076274,ZHO
8,246.45405994314464,242.43470147415778,ALO
9,244.00429489631833,231.922013769999,ALO
10,275.0069468073439,272.14516944916494,ALO
11,292.22218067555553,287.53846889363433,ALO
12,299.81751491742,300.84647727777354,ZHO
13,301.7314044337397,313.38952567111164,ZHO
14,297.4502138377335,313.18819586398723,ZHO
15,254.8498521138189,255.36302087830688,ZHO
16,244.766862488658,240.13266148026602,ALO
17,279.63676206560535,281.0703719089916,ZHO
18,287.1603615425837,304.01704100717313,ZHO
19,161.66598786574755,156.92716408437641,ALO
20,210.96600402068026,199.3309516989978,ALO
21,188.68841130091604,194.7431023734009,ZHO
22,145.59559190554305,133.49323554326375,ALO
23,242.79787736684145,232.94732612706648,ALO
24,283.46329660709506,290.2785516706629,ZHO
25,294.8214290285714,305.2431545904762,ZHO
