Minisector,LEC,GIO,Fastest
0,324.0299603809524,317.37105996190473,LEC
1,331.98161240684544,321.08981478095234,LEC
2,331.5491227508772,323.7887633156944,LEC
3,174.86743512595456,170.59287897555734,LEC
4,133.56381961010473,136.18330991715254,GIO
5,273.11866254760014,266.85433991111114,LEC
6,305.60666337952034,296.9355654144091,LEC
7,317.9818750933333,304.0029761015873,LEC
8,261.7862830052833,251.37112252392814,LEC
9,155.19614647999998,153.81995400761906,LEC
10,221.1912122820781,215.47535756254445,LEC
11,229.84547634402244,230.13148069135804,GIO
12,199.18307398889593,197.52555291362305,LEC
13,279.30893783188407,272.8160976,LEC
14,313.31337734736843,303.31964266666665,LEC
15,326.2246173536868,311.06077381333336,LEC
16,249.94733201066666,245.089218414652,LEC
17,213.453779566808,216.55861929195402,GIO
18,278.4569810562771,277.9139114203918,LEC
19,313.2556231763636,305.6808925485714,LEC
20,328.3002844723239,312.56071415873015,LEC
21,297.49345127619046,288.3026503090157,LEC
22,210.00829191254215,208.75379052517005,LEC
23,274.48162923636363,268.1464927455391,LEC
24,309.99288229469477,301.60456294603176,LEC
