Minisector,VER,LIN,Fastest
0,298.42018262692227,298.4295430523996,LIN
1,204.8656900392971,206.3799578845019,LIN
2,225.43807929701032,222.46491459809525,VER
3,277.75614666795315,272.2452286695554,VER
4,245.46179213129696,234.99841845424763,VER
5,127.42476463846435,120.99029538521467,VER
6,201.07517353839907,200.81289308685047,VER
7,245.15434497634232,244.87127803345456,VER
8,230.5637671540072,228.93742854700082,VER
9,241.89540775328797,229.49476312926512,VER
10,288.35277427114454,281.99555644559456,VER
11,310.8364259349073,307.9727376817115,VER
12,321.3880384580499,323.1323673204417,LIN
13,318.0160070231177,324.19854486942245,LIN
14,309.0508330071509,316.22475203196535,LIN
15,245.94125060880074,235.2643763477537,VER
16,236.38224518497657,227.53412580142648,VER
17,280.5086698497778,278.41882354652495,VER
18,290.0059026001771,289.46006073593077,VER
19,156.049223155554,149.2393111670742,VER
20,198.69583537675808,191.36306571563915,VER
21,178.2341615845516,164.27366744425797,VER
22,131.09873666240287,130.95283487764382,VER
23,240.46034890758952,239.64573998810465,VER
24,293.7815962943358,289.8590317858251,VER
25,306.77142857142854,,VER
