Minisector,GAS,PIA,Fastest
0,265.45119557023065,270.5912150537143,PIA
1,248.8948838233766,235.96959595158526,GAS
2,118.07919362762733,114.21759832633374,GAS
3,163.99719887899337,174.1135651829127,PIA
4,187.7877029169665,188.6303220057085,PIA
5,194.71073772464072,190.54898929422222,GAS
6,262.9821328872727,264.5373784040528,PIA
7,284.7467412123077,286.9522337509297,PIA
8,226.62803010986667,225.08976271559254,GAS
9,140.52844004734078,144.0422854802114,PIA
10,113.6596240837577,111.00481560439464,GAS
11,151.2805177468476,148.11728475874483,GAS
12,240.53971995844157,245.41913790539684,PIA
13,150.43472642573585,147.27718442740286,GAS
14,141.79149706244382,139.2818617870753,GAS
15,109.5824383173502,108.31074101589529,GAS
16,215.15665183183097,217.89811847253335,PIA
17,229.25731395230477,235.59700244170423,PIA
18,125.38009753809524,127.56376669157459,PIA
19,240.1440981342126,239.87652396349665,GAS
20,273.4258487260212,273.9237141465342,PIA
21,204.39159026997848,214.59078745666324,PIA
22,139.61840604562482,139.06059547226005,GAS
23,215.48850996552093,211.2789269280523,GAS
24,224.64737253785134,221.4516125301176,GAS
25,,254.71428662857144,PIA
