Minisector,GIO,HAM,Fastest
0,314.86064667745853,300.9833785154457,GIO
1,223.5807135063403,234.64661655931758,HAM
2,135.35458538965736,144.47278019937434,HAM
3,221.9995123073441,223.16280782271892,HAM
4,265.9213130588566,265.98172298001623,HAM
5,291.6825038545855,291.0636072296228,GIO
6,308.15997566550163,305.6183913155296,GIO
7,270.6627932648111,285.5165503717188,HAM
8,169.38486950176042,183.5635263607386,HAM
9,245.3633516279494,245.5747537325407,HAM
10,276.5382464112273,274.2241464520154,GIO
11,255.42645776047138,264.20799794473555,HAM
12,204.36335377684162,213.39959655175798,HAM
13,121.65690235953407,132.69252359693888,HAM
14,128.3147286781746,130.6353447070586,HAM
15,164.00094436252536,165.9959462473586,HAM
16,125.50268392582542,131.36277993898918,HAM
17,236.39410527688725,236.53656856727176,HAM
18,173.283179194523,187.59640909361704,HAM
19,166.8776862011618,175.975535743522,HAM
20,251.1116103489762,250.9276211805162,GIO
21,280.37987511141966,276.2262706171213,GIO
22,301.20546448610344,292.69839491383385,GIO
23,318.88645773935065,302.51054420965903,GIO
24,330.05357142857144,308.32675653816284,GIO
25,333.4291669333333,,GIO
