Minisector,BOT,GAS,Fastest
0,287.5965277037037,287.54014821290235,BOT
1,297.522678163293,297.97109366666666,GAS
2,302.1236978857143,301.4593137389356,BOT
3,304.2259799215686,302.11718833333333,BOT
4,188.348459563801,178.29635029487852,BOT
5,222.7931816727273,212.8642709697834,BOT
6,249.5585119743632,241.69434973078677,BOT
7,269.886873118797,265.01074962608675,BOT
8,271.06157347724866,271.63670766560847,GAS
9,173.4313002457071,170.20290365985846,BOT
10,234.37023779740258,231.16874889696967,BOT
11,141.95539720050965,137.59405819034086,BOT
12,225.3175573740812,220.16363437575757,BOT
13,207.1050841777778,199.5871288210515,BOT
14,217.34894549191318,210.76539654492754,BOT
15,252.83145845333334,247.97105059497386,BOT
16,262.9401630877193,259.2317660310777,BOT
17,284.845325032791,281.50421214784416,BOT
18,143.04796425368022,141.46336326772487,BOT
19,162.3709868531142,160.10755271569894,BOT
20,150.50709508325653,149.05335695933672,BOT
21,172.11760743225807,172.97430452117825,GAS
22,124.22515029527554,119.61794387921022,BOT
23,227.00275004081635,218.46119957056274,BOT
24,268.2258776140351,263.1778305506074,BOT
25,281.26666666666665,277.4562496,BOT
