Minisector,SAI,HAM,Fastest
0,269.80714370975056,271.04141472986,HAM
1,233.63890205714287,249.73970533554268,HAM
2,114.71435326252565,124.58036117825503,HAM
3,174.7065206469622,175.83932379909936,HAM
4,191.11854165330857,203.2217714964082,HAM
5,189.96671236258206,196.8742996784728,HAM
6,262.8349246623626,263.4935261985537,HAM
7,285.22623161829586,285.74419847037393,HAM
8,227.97832876039848,239.87925736923313,HAM
9,147.31497463927042,148.83954603615092,HAM
10,113.82335475421937,118.95664355838258,HAM
11,150.42245927261837,149.51837769420953,SAI
12,242.9680479531629,243.8965771750523,HAM
13,153.64892314559867,159.27810049105386,HAM
14,142.75827085882014,147.5307323172495,HAM
15,108.01606065441321,109.81872539245303,HAM
16,225.31565438234162,217.07325517481482,SAI
17,226.50026572348293,244.43842970675615,HAM
18,125.22618836838993,129.83815974281876,HAM
19,241.86680804746453,238.20930655026453,SAI
20,277.2494411236774,274.7686664890099,SAI
21,198.87884624646463,215.04024082250513,HAM
22,140.2167011453086,146.85893842209683,HAM
23,210.48708354641272,219.48252468317463,HAM
24,227.23810942217145,221.36099123385597,SAI
25,254.5714304,253.83750080000002,SAI
