Minisector,OCO,RUS,Fastest
0,280.8116851749074,277.6647278830702,OCO
1,144.15493356305123,146.70535383519282,RUS
2,214.4864761264814,215.4423777685108,RUS
3,277.3147905709037,282.9219366483522,RUS
4,305.41287465109355,311.4148555766676,RUS
5,295.87080676557076,293.5574161924633,OCO
6,148.06093137095516,149.70852861740417,RUS
7,229.15894110751836,248.75477257817775,RUS
8,105.73981210014101,113.77308029761144,RUS
9,165.7957284410993,156.14311375304294,OCO
10,276.7935286633336,273.9667375051703,OCO
11,292.87024595613747,295.8138609565453,RUS
12,203.2301980043122,212.2899669277835,RUS
13,173.6264261058366,161.52066691082698,OCO
14,279.6836825141406,269.47286430676957,OCO
15,309.49422830973083,312.2699773092314,RUS
16,321.90144654922364,323.708375104,RUS
17,328.6225031974153,333.8884183882836,RUS
18,329.36189680725573,332.13805068761906,RUS
19,323.1653737338252,327.8023810031746,RUS
20,183.41023676375457,193.55760200926872,RUS
21,184.2619938854531,166.01663121780697,OCO
22,279.97610108321993,278.4928637403347,OCO
23,311.451996874181,314.93533419936847,RUS
24,319.4655435107976,322.6216866216646,RUS
