Minisector,OCO,NOR,Fastest
0,291.220987705679,310.8927978002107,NOR
1,233.42569867543267,229.156822123087,OCO
2,128.54897235392937,125.85373560166941,OCO
3,230.7899152647288,231.09735853559238,NOR
4,191.66925960097961,193.08092483804552,NOR
5,244.97104344137298,241.6130878207792,OCO
6,229.26293631238096,226.3796831721495,OCO
7,248.68036600247345,252.46676853018064,NOR
8,277.7773001034432,278.23292228053333,NOR
9,214.0060055629118,213.4932762268398,OCO
10,204.4980911439557,204.11161783726791,OCO
11,264.83078652896967,270.08640732060604,NOR
12,208.10815484498318,205.53113870929292,OCO
13,245.8614412400657,241.95174712960252,OCO
14,288.49471326152513,288.2119452908975,OCO
15,299.2383171780117,308.8303024272682,NOR
16,294.7040002348052,308.2419710261472,NOR
17,233.5232475549912,222.17087150040152,OCO
18,264.566935851678,265.0138565039456,NOR
19,291.13400913049,297.37267568482923,NOR
20,302.601204416273,316.96176240028825,NOR
21,298.9510144941991,315.41156680076193,NOR
22,149.31850356975679,142.17210814529682,OCO
23,229.88560178779562,234.83004732370557,NOR
24,277.86378633227514,291.04673432137565,NOR
25,288.16875039999996,,OCO
