Minisector,VER,RAI,Fastest
0,313.5577490863079,314.1597018120894,RAI
1,255.28633198933335,247.70992852347786,VER
2,198.15013656046753,198.8272130752786,RAI
3,263.0976601041115,267.6630010196075,RAI
4,234.48220952870497,221.42543582308716,VER
5,120.77449182904161,116.58657532131221,VER
6,183.8136520549625,181.62168180216514,VER
7,257.2721073967628,261.75601418301096,RAI
8,284.5474304985713,289.55852680955934,RAI
9,297.8155676433048,302.642172182275,RAI
10,300.6985484806829,306.13425536289134,RAI
11,232.31333097540556,200.26240933936856,VER
12,146.6417715994759,148.29376542060575,RAI
13,254.6084337237695,262.32515768675455,RAI
14,286.4720490433461,292.37015345612934,RAI
15,298.51361496962807,301.6716300143065,RAI
16,292.9768913285145,297.9875649174852,RAI
17,271.2678657043259,250.05307074448115,VER
18,194.89229173976676,183.82920610978226,VER
19,194.457117034701,172.62046403612248,VER
20,185.85108949501736,207.34226541555557,RAI
21,249.9241637363717,234.2054158483308,VER
22,131.74502799171148,122.42655437793303,VER
23,195.26488647576087,222.04139040585386,RAI
24,275.61108873673635,279.5180379568434,RAI
