Minisector,VER,STR,Fastest
0,290.5731894698465,301.6878595440116,STR
1,299.1656731405128,319.8206765171501,STR
2,285.14835733,295.48069030647343,STR
3,120.03367067642982,108.54423284930556,VER
4,226.07762385771255,228.20476550464858,STR
5,271.93627951424804,275.1486798708075,STR
6,215.92979171366665,190.48233595269232,VER
7,168.08735284338624,166.48199236323637,VER
8,224.28568172106964,199.6259517598861,VER
9,228.75443168571428,212.27542411954647,VER
10,122.03639544550305,115.90322925873012,VER
11,232.49295125157823,221.87373141312023,VER
12,119.7096837652386,110.58718965730871,VER
13,225.5112848802791,232.44031270909602,STR
14,272.90121042957395,286.0998321395932,STR
15,231.8699941227385,206.41375563848544,VER
16,203.21207259521813,204.14507775426222,STR
17,253.3880427938624,243.11697636053592,VER
18,210.29102837223974,191.53166277568542,VER
19,186.54693192787303,194.04853760434077,STR
20,264.43213869619063,264.3607220436364,VER
21,289.46476785124713,288.3793795918158,VER
22,170.9167953243501,166.71232868977216,VER
23,212.87595208492553,222.21051388330702,STR
24,271.00882607512466,273.4672492292977,STR
