Minisector,BOT,HUL,Fastest
0,233.14918018713226,228.78745317325107,BOT
1,283.1293081478594,278.73279904022075,BOT
2,297.5310471330797,294.06785846219077,BOT
3,303.9537734242782,303.1010629688766,BOT
4,277.05489682150323,269.0645189271183,BOT
5,170.37741334546902,163.51382574361293,BOT
6,262.46356064247203,257.28674744088653,BOT
7,280.4036182231495,278.6141305507246,BOT
8,220.18166565802622,216.63361867785076,BOT
9,224.8334964976547,214.67489031904265,BOT
10,186.81019733108496,188.59975699607787,HUL
11,225.73216994638898,214.319790627484,BOT
12,208.88529929230643,206.7742167671192,BOT
13,214.56622062186923,214.67197293445872,HUL
14,223.34622220988842,214.0232201648571,BOT
15,185.1816285090382,180.1913013343991,BOT
16,246.56233669207074,240.95118351427416,BOT
17,285.3196452390194,281.8071233444861,BOT
18,298.9506000642423,298.5620316131423,BOT
19,288.33242956704845,302.6863096888889,HUL
20,132.38357508598634,133.88554478728284,HUL
21,164.17330400981433,164.70127181907014,HUL
22,156.14016241948508,142.60693830938988,BOT
23,209.88859685540305,211.06916486390165,HUL
24,149.93534862302045,143.78369739915104,BOT
25,188.38750293333334,176.60555235555557,BOT
