Minisector,PER,ALB,Fastest
0,292.37612861555215,296.6048723160503,ALB
1,209.2089241918797,213.8346420580499,ALB
2,225.80384279536142,226.70146229242835,ALB
3,274.1497069234533,274.0897377491153,PER
4,249.01467658450167,239.93670138758094,PER
5,132.55067723330006,126.55862018278359,PER
6,212.67638772167044,207.65787900376571,PER
7,257.14806821388714,253.1198812612472,PER
8,246.44721202381749,230.8402996254284,PER
9,231.30658821804985,229.41874449970052,PER
10,275.6661821884092,271.99120802321994,PER
11,294.3899368012426,292.5179398679494,PER
12,303.8828127911111,304.7613931088254,ALB
13,308.16907902556386,310.8597511296494,ALB
14,311.3117647372549,306.6669245710812,PER
15,268.21262633802314,247.84308467442057,PER
16,240.13754675870317,233.14670216666664,PER
17,278.485781494722,275.7795371167457,PER
18,296.80263518695904,288.32420991788524,PER
19,156.3298408815777,145.42587332304626,PER
20,209.1120091263734,206.41537624373603,PER
21,188.49093526531183,174.18637825381563,PER
22,137.10975051271433,141.76342333021424,ALB
23,238.70394073469205,237.84085740495863,PER
24,281.67376554739394,280.19172583298246,PER
