Minisector,LEC,SAI,Fastest
0,272.2932140136296,290.4217800292064,SAI
1,115.45387174755066,120.52019219679875,SAI
2,170.71370948883032,174.00113683037722,SAI
3,211.6406037050206,198.39968815433454,LEC
4,171.83403077455057,176.37040321814743,SAI
5,244.81016028604847,244.8587871013449,SAI
6,213.61339467012988,205.4203360465934,LEC
7,141.73788839270492,141.3023609043253,LEC
8,237.36960654175755,241.296100226738,SAI
9,277.2006410190999,285.73023778024276,SAI
10,289.95172286743383,287.9330941213819,LEC
11,154.78576165358538,154.2703176102206,LEC
12,225.0511614548466,227.05774214070817,SAI
13,270.94894690698413,272.1625696752941,SAI
14,270.21371600234176,250.8090931931907,LEC
15,104.6702464654804,104.37175480252763,LEC
16,226.0052696198421,230.68575022933334,SAI
17,273.88102714277767,279.11682734349205,SAI
18,292.2281424551782,308.04446345263233,SAI
19,305.9238489955556,322.00316418610726,SAI
20,311.18221108278016,327.47259435301584,SAI
21,297.2525755755025,245.71120002606796,LEC
22,159.92560454778393,149.86910371383604,LEC
23,234.6098842910712,243.77912727009524,SAI
24,278.42568409878027,285.98335859228814,SAI
