Minisector,GAS,ALO,Fastest
0,291.4635416533333,295.00223221801025,ALO
1,232.8860908964263,222.22636197460318,GAS
2,144.81745579557725,142.6244362385113,GAS
3,219.66275883949555,218.86934499047618,GAS
4,163.1660157,157.10431500932467,GAS
5,169.0862826420891,181.1403743632184,ALO
6,247.59387755102043,249.528284319714,ALO
7,271.7463094857143,272.26228087017546,ALO
8,279.28055555555557,279.6414474105263,ALO
9,235.8677084,260.9544096351489,ALO
10,228.07819444444445,245.3696431238095,ALO
11,232.98647186147184,237.28727489030152,ALO
12,203.4676281025641,202.52439560646593,GAS
13,138.29285356858614,137.882896515833,GAS
14,148.23401594069253,142.5520828631579,GAS
15,177.3063887593651,182.13166876848123,ALO
16,254.00505424141426,254.94265919999998,ALO
17,233.43167701863354,230.02494599276181,GAS
18,112.66443861946472,111.97464043174602,GAS
19,195.2421294617284,202.25939084490494,ALO
20,188.6728330957319,192.08205420246915,ALO
21,227.08972561490683,233.56638440082676,ALO
22,261.1497004775075,262.73996620770976,ALO
23,277.2739137156924,279.2807019789474,ALO
24,286.3500000533333,290.02635411251515,ALO
