Minisector,ALO,STR,Fastest
0,303.0893228666667,306.25526416698415,STR
1,224.72764480298613,210.41510622657594,ALO
2,129.03312815691334,130.02279316813048,STR
3,213.5129622762348,215.50255067204924,STR
4,259.89482021668647,263.51950987230657,STR
5,283.15485478496726,286.64723080493826,STR
6,297.2128193777778,300.9596995377778,STR
7,270.74199631519707,265.4582638397242,ALO
8,169.11557106481888,167.31917824149224,ALO
9,240.06687118846858,239.16653514347283,ALO
10,270.870615265702,270.21805573226607,ALO
11,256.23125886431376,252.2335344206561,ALO
12,210.3247253737474,208.98837319525774,ALO
13,119.00193241351579,126.15467846237257,STR
14,124.74133307901235,124.41591473866283,ALO
15,158.22664076689625,161.6692871417596,STR
16,117.54894471312456,133.56387496691622,STR
17,228.04221802901563,231.8637864159659,STR
18,178.8970081165576,166.53778131682387,ALO
19,164.58437342990123,167.4069780839426,STR
20,243.62557735238096,247.99958617413012,STR
21,270.871969838522,275.7754689450965,STR
22,287.6979147236907,291.8530000463119,STR
23,297.2538257385281,300.4462204495238,STR
24,301.33529402352946,303.2283860779221,STR
