Minisector,NOR,PIA,Fastest
0,292.3000334307318,305.39035352533335,PIA
1,302.54592622336156,321.37153781924434,PIA
2,280.5598541021645,289.0421231772522,PIA
3,111.69907812676684,111.2621080992109,NOR
4,225.8819001619368,219.34811034288703,NOR
5,272.6771638366874,270.1535462293996,NOR
6,216.49699384447413,205.09314897803637,NOR
7,168.0868360920168,163.39270052609493,NOR
8,211.9420670218404,210.60646483470632,NOR
9,216.88779070753822,220.39144872380953,PIA
10,118.15915416227828,111.54004693652097,NOR
11,230.80974639519147,233.58430857723494,PIA
12,117.77920740784865,118.1484827380995,PIA
13,224.2596070144108,226.56159065031113,PIA
14,275.96802135533756,273.4843733364933,NOR
15,229.89273447682538,202.86854241172162,NOR
16,192.82608198448202,197.927217442359,PIA
17,253.43529515338227,255.5901006190476,PIA
18,207.12864464994405,205.0957748868685,NOR
19,182.0653833736937,181.15008487996838,NOR
20,263.31541715724865,265.9391269771126,PIA
21,290.27937866447206,293.87392289117463,PIA
22,170.08077976019098,159.5416547994979,NOR
23,210.17822886884628,218.43722813790086,PIA
24,274.70627836559885,277.8718279214907,PIA
