Minisector,HAM,MAG,Fastest
0,271.04141472986,268.5630695836867,HAM
1,249.73970533554268,248.8573625509957,HAM
2,124.58036117825503,119.4360265614255,HAM
3,175.83932379909936,172.35176190994386,HAM
4,200.813192503343,191.50049286384237,HAM
5,198.76083217934064,190.9516431068033,HAM
6,264.16385618217237,264.8462335498039,MAG
7,286.25505738386323,285.5073937746032,HAM
8,234.88474567063164,220.71632750580633,HAM
9,149.39365033133186,143.99449534462462,HAM
10,118.95664355838258,110.22221471736381,HAM
11,149.51837769420953,151.11215570395748,MAG
12,243.8965771750523,243.35153881904765,HAM
13,158.69037526408013,154.65474512184332,HAM
14,149.1027325092495,144.95353098851996,HAM
15,109.0992811330426,107.23278475190162,HAM
16,220.6960269377778,213.99195517521892,HAM
17,239.95374202675617,234.92892578222222,HAM
18,131.02237026913454,125.26276186767453,HAM
19,239.5227546611456,238.53797260225784,HAM
20,275.20825379905705,274.6036034663354,HAM
21,212.0419904234836,193.77226772953833,HAM
22,148.80426376262338,142.25730503497834,HAM
23,217.0637826084022,209.58291367731783,HAM
24,224.24516320792551,223.89445061035198,HAM
25,253.83750080000002,254.29000192,MAG
