Minisector,RIC,OCO,Fastest
0,275.4492542125004,274.18245166526316,RIC
1,296.0349047649524,296.2497179588638,OCO
2,290.59625394711196,293.91233335466666,OCO
3,175.91100591498258,181.92944258304297,OCO
4,115.85398477796868,114.80822787162077,RIC
5,236.49045646451611,232.01213952972432,RIC
6,279.6546471794872,278.92596127179485,RIC
7,284.69583372307693,288.3142079086632,OCO
8,177.39938421165832,174.8733145142857,RIC
9,140.13882409646754,136.71892649214197,RIC
10,250.7514363218391,246.91513909147403,RIC
11,288.1347586506899,286.486166272,RIC
12,296.46789117584933,297.56928876416487,OCO
13,285.03297621333337,271.1058642962963,RIC
14,295.15711429406144,290.9816185660952,RIC
15,291.8878573714286,295.89638991357725,OCO
16,253.2199326672495,246.45016036063492,RIC
17,226.03111933333332,219.85969464378937,RIC
18,274.5951073082995,273.76826843076924,RIC
19,294.51924590476193,295.7585540007405,OCO
20,301.56927079999997,295.66600008533334,RIC
21,232.4732404379936,225.72706656458092,RIC
22,254.1777492414509,246.29359512906404,RIC
23,135.5650887319716,138.58915343841625,OCO
24,213.02029715209065,205.42598935700138,RIC
25,,254.55833386666666,OCO
