Minisector,PER,RUS,Fastest
0,269.34379598814814,272.014822944903,RUS
1,288.3089663851583,289.03812139384416,RUS
2,291.03768579950616,294.5694821866667,RUS
3,126.91193873026306,126.39285016594395,PER
4,201.47873875482992,196.60840051870755,PER
5,254.14621806577614,254.99527361539714,RUS
6,138.30586547198627,141.4964513476679,RUS
7,206.15322790851937,201.4711015908922,PER
8,259.8616650173243,257.5935510103258,PER
9,279.9373109593277,279.20584096349205,PER
10,223.87362651499132,239.93978825034014,RUS
11,181.27087804285472,178.42259416550263,PER
12,189.9633069202101,192.80438720412988,RUS
13,133.1781501093082,148.83476707479502,RUS
14,176.59159575228398,179.77843533776206,RUS
15,162.7454427706478,166.95254946679805,RUS
16,217.17755014836362,219.8807835813671,RUS
17,233.36184436148147,240.24057847177946,RUS
18,239.62845984907827,241.43108675221694,RUS
19,230.26071840578888,245.21757939515456,RUS
20,146.83573378214123,149.05023858399053,RUS
21,138.42669142122122,130.54801569349658,PER
22,170.4900657171757,166.2770894653968,PER
23,150.04574721984554,155.07990084924754,RUS
24,229.34096978166428,225.3592896016372,PER
25,256.35499904,254.0250016,PER
