Minisector,LEC,PER,Fastest
0,293.97300151466675,298.2389932387662,PER
1,304.5235118899471,316.278074074074,PER
2,309.29059748289245,322.28121218327277,PER
3,308.8810382747942,312.12359282269404,PER
4,167.06415892978822,168.68767434404506,PER
5,207.42512944963818,203.5304548327162,LEC
6,234.2601463709091,234.63721853218445,PER
7,267.2745168002457,265.6998666298339,LEC
8,241.7249480493582,252.22419645079367,PER
9,156.4638931921181,158.7899816862745,PER
10,223.506949543416,220.22897236791388,LEC
11,128.02585427345625,131.720972018101,PER
12,227.4945454523356,224.71458347936507,LEC
13,183.78119974748344,180.45462141922744,LEC
14,208.540223547046,212.43545265371426,PER
15,239.96815403797297,232.63430954324363,LEC
16,263.17975762077924,257.2014700411318,LEC
17,289.42433022380953,280.91049572583916,LEC
18,150.3172752415154,157.27331053920537,PER
19,162.48849662752207,164.91255271954674,PER
20,139.58258813767114,142.3187495313828,PER
21,226.78482815306424,220.77361932312382,LEC
22,263.0767046206784,248.20227797231746,LEC
23,247.44620536034634,240.043552648274,LEC
24,274.87380866528065,266.88339751736027,LEC
25,,279.26875040000004,PER
