Minisector,HAM,STR,Fastest
0,290.788278071973,289.4317739342443,HAM
1,164.66110827313636,156.53977192260584,HAM
2,152.82435318993228,150.5271768,HAM
3,227.14444448395062,226.59328814992267,HAM
4,281.69633761969254,284.9747701842607,STR
5,282.01693771018273,286.5326069068323,STR
6,148.6583257919231,143.30192345855784,HAM
7,146.47655365614236,143.15170684223602,HAM
8,147.46291886922768,142.87311409442393,HAM
9,188.57766883001443,184.90809616328727,HAM
10,133.3517518115818,133.92715523031734,STR
11,124.43158150743598,124.39291382733778,HAM
12,170.01155015907335,162.8319133069597,HAM
13,266.42914767726563,265.1042756123336,HAM
14,284.8761362909091,286.79184774492757,STR
15,158.45252575054525,154.06284041360544,HAM
16,216.94977936931215,206.7334608891434,HAM
17,177.84872452032374,168.46455704502839,HAM
18,273.52500000000003,269.31770737777777,HAM
19,295.115476092517,294.25489113043477,HAM
20,308.24895833333335,308.6706558657596,STR
21,314.50145818666664,316.80999994666666,STR
22,317.2527976304762,319.65583327999997,STR
23,326.20958336,321.18201745964916,HAM
24,328.52425061647784,319.47625008,HAM
25,324.46250026666667,315.1333333333333,HAM
