Minisector,NOR,STR,Fastest
0,292.3000334307318,301.6878595440116,STR
1,302.54592622336156,319.8206765171501,STR
2,280.5598541021645,295.48069030647343,STR
3,111.69907812676684,108.54423284930556,NOR
4,225.8819001619368,228.20476550464858,STR
5,272.6771638366874,275.1486798708075,STR
6,216.49699384447413,190.48233595269232,NOR
7,168.0868360920168,166.48199236323637,NOR
8,211.9420670218404,199.6259517598861,NOR
9,216.88779070753822,212.27542411954647,NOR
10,118.15915416227828,115.90322925873012,NOR
11,230.80974639519147,221.87373141312023,NOR
12,117.77920740784865,110.58718965730871,NOR
13,224.2596070144108,232.44031270909602,STR
14,275.96802135533756,286.0998321395932,STR
15,229.89273447682538,206.41375563848544,NOR
16,192.82608198448202,204.14507775426222,STR
17,253.43529515338227,243.11697636053592,NOR
18,207.12864464994405,191.53166277568542,NOR
19,182.0653833736937,195.78025301752942,STR
20,263.31541715724865,265.92953513454546,STR
21,290.27937866447206,288.66368519181583,NOR
22,170.08077976019098,164.00013356782094,NOR
23,210.17822886884628,224.02630287881883,STR
24,274.70627836559885,273.4672492292977,NOR
